X1,X2,z
3.1193528090937432,7.100551836722915,B
-3.8502614217572275,-4.934919464373756,A
-4.21449405578822,-7.3964232834108925,A
3.1973937078344337,4.783222153781693,B
-4.296943359691388,-4.839381666234683,A
-1.7596317803628496,0.46674208340835754,B
-3.2906196955751548,-4.6536980005872906,A
0.8005932292853184,1.6427165728754018,B
-0.26708843897910595,-2.025839991675699,A
-4.763295137986293,-5.070335867881878,A
-0.8108288631290033,2.4526645515197147,B
-2.6768792302419735,-0.9704902504244615,B
-4.971811301363649,-5.412392327482875,A
-2.1068864528089377,-3.9281514438371166,A
2.7782087319264055,0.10115348644917388,A
2.5793429468436657,5.707232206237869,B
-1.6461809012706665,-3.5448505670101547,A
-3.8238466872253465,-3.6746600239276113,A
0.8891372683625742,4.055405886386842,B
2.393625126334811,5.443062568491251,B
-0.14220762534724873,-3.333490278425199,A
4.324577400098709,7.0646856399474345,B
0.022803896577979765,-3.756255919464169,A
7.087055652249301,6.4229486427802325,B
0.30918839845940416,-1.3697961297178578,A
2.8950863442502053,1.752060282331242,B
2.1863330977389897,4.9663161573946955,B
2.5120097343967878,3.7134740413265472,B
-1.679540854988804,-3.4796087644347646,A
0.2826085801437161,-0.8033062161282569,A
4.788039027399875,4.8297874624376655,B
-10.211759696122462,-8.22950808530131,B
-4.699866789858906,-5.164558437127534,A
0.6253991930006958,-3.0634596005064236,A
0.27183985713588016,-2.9158091000250623,A
-4.950420068637072,-6.224542031784058,A
5.4766983339234905,8.773145753923952,B
-6.354820169488885,-4.6879432590721475,B
-4.337389714726352,-0.5935849354135989,B
4.442013439636167,3.586260525822448,A
3.011271969395323,0.06388810439587367,A
-1.2337181048913006,4.726258574292981,B
3.355728830791034,0.9834692000927192,A
0.41185660883997954,-3.056702834241217,A
-1.7133552723476344,-2.771714355251433,A
0.8088764996327468,3.8170318350335846,B
-0.2340000361720895,1.5830605807225808,B
-3.458626774441475,-5.34882529107816,A
-4.460761923151069,-0.28288026737499017,B
3.1639119463968233,2.770722093719762,B
6.604913761279847,6.835613879029981,B
5.243921319249699,0.42995391500241364,A
4.157157713391332,8.384481338201276,B
2.6992785754666517,1.5258992561548812,A
-1.632110903022643,-2.34477001312585,B
-4.842039584022508,-5.870308963871809,A
-5.561896201988312,-7.678086515465355,A
-0.2312897920680047,-1.7981717233250258,A
-2.9429618137026834,0.6696749707603571,B
-1.4948204206384728,-3.526227728238107,A
3.174541564245435,4.743012551436762,B
-0.05073929252974363,-3.473083843192276,A
-0.2326886934306306,0.22572965303341475,A
-2.540027197945962,-2.9999263190735572,A
-2.2325844353373774,-1.9603310736926738,B
6.2066664856428275,8.113257995380696,B
-9.540896133079745,-7.275666509235034,B
-0.47754280067093147,2.9286030007307704,B
-3.496245133283468,-3.216473995614747,B
3.8844673622364283,4.616353534409162,B
3.5415480805868578,7.54440083919114,B
6.237243118460693,3.9723063399052503,A
-4.301299579166225,-6.597060257639655,A
-1.565682193911463,0.21290375147585183,B
1.5522845566441594,4.248069216377709,B
5.318644907464839,4.079020646324628,A
-3.743050066966256,-0.6793019125305024,B
-2.5747634378667894,-0.7230995156032916,B
-6.373296641949356,-5.295659174189408,B
5.99219455352225,2.434213500734959,A
2.546663284077332,3.103493219534035,B
-1.7752790386087902,-3.215145216193827,A
-1.720608211913883,-0.7064676686129729,B
1.0347446634301174,-1.1300108311512087,A
5.073806442872055,6.968369055564999,B
0.7416915616050054,0.17682514384308856,A
5.420192933762162,8.885922406657137,B
3.5587920082019764,0.5104049261019368,A
-9.08846124230374,-12.299194707039302,A
-0.15897123241603156,-2.2588622053260643,A
3.3423486655146735,5.497342102894983,B
3.8162952963134766,4.114071113400756,B
4.756919899214251,4.18173643111535,A
2.232430926419462,3.6742128255817796,B
-5.747409824690616,-2.7021373797353583,B
4.831650248755187,3.1441835975387704,A
3.2469271771550123,0.6851872715268397,A
-7.9779296289452475,-4.812808957799815,B
-11.176933002851317,-12.072842111301092,A
2.473531888128459,2.2325660547055657,A
-2.133220711257289,-3.9367954817143804,A
-0.5639860386250395,3.1483472211039247,B
2.488502619636784,8.346837802453507,B
-2.8244898894897865,-3.8372335662717427,A
-2.636625933734143,-5.325970404290481,A
-4.050564838009747,-5.5437619571435235,A
2.3659305962619714,6.061597223910876,B
4.03238223365933,0.5310012314740096,A
-6.590971724584511,-8.727683208300897,A
-0.9902955791407039,2.5997418109072448,B
1.9764382314400506,-2.5080573741405505,A
3.0703049445423205,1.3165230625935318,A
5.27057181306791,5.977759843652072,B
-3.196465737437925,-0.9020043726780971,B
-6.75266601710694,-4.487850503167642,B
